RSSI,ACC_X,ACC_Y,ACC_Z,Gyro_X,Gyro_Y,Gyro_Z
-38,4.98,1.71,6.96,-0.02,-0.04,0.01
-35,4.98,1.71,6.97,-0.02,-0.04,0.01
-37,5,1.71,6.96,-0.02,-0.04,0.01
-38,5.01,1.71,6.97,-0.02,-0.05,0.01
-38,5.01,1.72,6.98,-0.02,-0.05,0.01
-36,5.01,1.72,7,-0.02,-0.05,0.01
-36,5.01,1.72,6.99,-0.02,-0.05,0.01
-36,5.01,1.73,7,-0.02,-0.05,0.01
-38,5.01,1.73,6.99,-0.03,-0.05,0.01
-35,5.02,1.73,6.97,-0.03,-0.05,0.01
-35,5.02,1.72,6.97,-0.03,-0.05,0.01
-37,5.02,1.71,6.98,-0.03,-0.05,0.01
-36,5.01,1.71,6.98,-0.03,-0.05,0.01
-73,5.01,1.71,6.98,-0.04,-0.05,0.01
-36,5,1.71,6.98,-0.04,-0.05,0.01
-37,4.99,1.71,6.99,-0.04,-0.05,0.01
-38,4.98,1.71,6.98,-0.04,-0.04,0.01
-37,4.96,1.71,6.97,-0.04,-0.04,0.01
-35,4.96,1.69,6.98,-0.04,-0.04,0.01
-39,4.97,1.7,6.99,-0.04,-0.04,0.01
-36,4.95,1.71,6.98,-0.04,-0.04,0.01
-37,4.96,1.72,6.98,-0.04,-0.04,0.01
-36,4.96,1.72,6.97,-0.03,-0.04,0.01
-38,4.97,1.71,6.96,-0.03,-0.04,0.01
-39,4.96,1.7,6.97,-0.03,-0.04,0.01
-37,4.97,1.7,6.97,-0.03,-0.04,0.01
-36,4.98,1.7,6.96,-0.03,-0.04,0.01
-37,4.96,1.7,6.96,-0.03,-0.04,0.01
-37,4.96,1.69,6.96,-0.03,-0.04,0.01
-38,4.96,1.69,6.95,-0.03,-0.04,0.01
-37,4.94,1.69,6.97,-0.03,-0.04,0.01
-35,4.93,1.7,7,-0.03,-0.05,0.01
-38,4.94,1.7,7,-0.03,-0.05,0.01
-36,4.94,1.7,6.99,-0.03,-0.05,0.01
-35,4.93,1.7,6.99,-0.03,-0.05,0.01
-36,4.94,1.7,6.99,-0.03,-0.05,0.01
-39,4.96,1.7,6.99,-0.03,-0.05,0.01
-37,4.95,1.7,7.01,-0.03,-0.05,0.01
-36,4.96,1.71,7,-0.03,-0.05,0.01
-37,4.95,1.72,6.99,-0.03,-0.05,0.01
-36,4.96,1.71,6.99,-0.03,-0.05,0.01
-37,4.97,1.72,6.99,-0.03,-0.05,0.01
-39,4.96,1.71,6.99,-0.03,-0.05,0.01
-37,4.98,1.72,7.01,-0.03,-0.05,0.01
-36,4.98,1.72,7.03,-0.03,-0.05,0.01
-36,4.98,1.73,7.02,-0.03,-0.05,0.01
-37,4.98,1.75,7.01,-0.03,-0.04,0.01
-37,4.99,1.75,7.01,-0.03,-0.04,0.01
-36,4.98,1.75,7,-0.02,-0.05,0.01
-36,4.97,1.75,7.01,-0.02,-0.05,0.01
-35,4.96,1.76,7.02,-0.02,-0.05,0.01
-36,4.96,1.76,7.01,-0.02,-0.05,0.01
-38,4.95,1.76,6.99,-0.02,-0.05,0.01
-36,4.94,1.77,6.98,-0.02,-0.05,0.01
-39,4.93,1.77,6.97,-0.02,-0.05,0.01
-36,4.93,1.77,6.99,-0.03,-0.05,0.01
-38,4.93,1.76,6.99,-0.03,-0.05,0.01
-38,4.93,1.77,6.98,-0.03,-0.04,0.01
-37,4.92,1.78,6.98,-0.03,-0.04,0.01
-35,4.92,1.79,6.99,-0.03,-0.04,0.01
-37,4.91,1.78,7,-0.03,-0.04,0.01
-36,4.91,1.77,6.99,-0.04,-0.04,0.01
-38,4.92,1.75,6.97,-0.04,-0.04,0.01
-36,4.92,1.74,6.97,-0.04,-0.04,0.01
-37,4.93,1.74,6.97,-0.04,-0.04,0.01
-37,4.94,1.73,6.97,-0.04,-0.04,0.01
-37,4.94,1.72,6.98,-0.04,-0.04,0.01
-37,4.94,1.71,6.98,-0.04,-0.04,0.01
-37,4.94,1.7,6.99,-0.04,-0.04,0.01
-39,4.95,1.7,6.98,-0.03,-0.04,0.01
-37,4.95,1.7,6.99,-0.03,-0.04,0.01
-35,4.96,1.7,6.97,-0.03,-0.04,0.01
-37,4.97,1.69,6.96,-0.03,-0.04,0.01
-37,4.97,1.68,6.97,-0.03,-0.04,0.01
-36,4.97,1.66,6.98,-0.03,-0.04,0.01
-37,4.97,1.66,6.98,-0.02,-0.04,0.01
-37,4.97,1.65,6.96,-0.02,-0.04,0.01
-36,4.96,1.67,6.95,-0.02,-0.04,0.01
-859,4.96,1.68,6.96,-0.02,-0.04,0.01
-76,4.97,1.68,6.96,-0.02,-0.04,0.01
-37,4.97,1.69,6.95,-0.02,-0.04,0.01
-35,4.97,1.69,6.93,-0.02,-0.04,0.01
-37,4.97,1.68,6.94,-0.02,-0.04,0.01
-35,4.97,1.67,6.94,-0.02,-0.04,0.01
-37,4.98,1.67,6.94,-0.02,-0.04,0.01
-37,4.98,1.67,6.93,-0.02,-0.04,0.01
-36,4.97,1.68,6.93,-0.02,-0.04,0.01
-38,4.97,1.68,6.96,-0.02,-0.04,0.01
-36,4.97,1.67,6.97,-0.02,-0.05,0.01
-36,4.97,1.67,6.97,-0.02,-0.05,0.01
-35,4.96,1.67,6.98,-0.03,-0.05,0.01
-38,4.96,1.68,6.97,-0.03,-0.05,0.01
-37,4.95,1.69,6.97,-0.03,-0.05,0.01
-35,4.96,1.69,6.97,-0.03,-0.05,0.01
-35,4.96,1.7,6.97,-0.03,-0.05,0.01
-36,4.95,1.7,6.99,-0.03,-0.05,0.01
-38,4.96,1.7,6.99,-0.03,-0.05,0.01
-72,4.95,1.69,6.98,-0.03,-0.05,0.01
-37,4.96,1.69,6.98,-0.03,-0.05,0.01
-36,4.96,1.68,6.98,-0.03,-0.05,0.01
-37,4.97,1.67,6.97,-0.03,-0.05,0.01
-37,4.97,1.67,6.96,-0.03,-0.05,0.01
-37,4.98,1.68,6.98,-0.03,-0.05,0.01
-37,4.99,1.69,6.99,-0.03,-0.05,0.01
-37,4.98,1.69,7,-0.03,-0.05,0.01
-38,4.98,1.7,7.01,-0.03,-0.05,0.01
-37,4.98,1.69,7.01,-0.03,-0.05,0.01
-35,4.97,1.69,7.01,-0.03,-0.05,0.01
-37,4.97,1.69,7,-0.03,-0.05,0.01
-36,4.96,1.7,6.99,-0.03,-0.05,0.01
-35,4.95,1.71,6.97,-0.03,-0.05,0.01
-36,4.94,1.7,6.97,-0.03,-0.05,0.01
-37,4.95,1.7,6.98,-0.03,-0.05,0.01
-35,4.94,1.7,6.98,-0.03,-0.05,0.01
-37,4.93,1.7,6.98,-0.03,-0.05,0.01
-36,4.93,1.7,6.97,-0.03,-0.05,0.01
-38,4.94,1.71,6.97,-0.03,-0.05,0.01
-36,4.93,1.7,6.98,-0.03,-0.05,0.01
-36,4.93,1.7,6.97,-0.03,-0.05,0.01
-36,4.93,1.71,6.95,-0.03,-0.05,0.01
-37,4.93,1.72,6.95,-0.03,-0.05,0.01
-38,4.93,1.73,6.96,-0.03,-0.05,0.01
-37,4.93,1.72,6.96,-0.03,-0.05,0.01
-38,4.93,1.72,6.94,-0.03,-0.05,0.01
-36,4.93,1.71,6.95,-0.03,-0.05,0.01
-36,4.94,1.72,6.97,-0.03,-0.05,0.01
-37,4.95,1.72,6.99,-0.03,-0.05,0.01
-37,4.96,1.72,6.98,-0.03,-0.05,0.01
-36,4.97,1.72,6.97,-0.02,-0.05,0.01
-35,4.95,1.72,6.97,-0.02,-0.05,0.01
-35,4.97,1.72,6.95,-0.02,-0.05,0.01
-38,4.96,1.72,6.94,-0.02,-0.05,0.01
-34,4.97,1.71,6.95,-0.02,-0.05,0.01
-38,4.97,1.71,6.94,-0.02,-0.05,0.01
-37,4.97,1.72,6.94,-0.02,-0.05,0.01
-79,4.97,1.72,6.96,-0.02,-0.05,0.01
-38,4.96,1.71,6.96,-0.02,-0.05,0.01
-41,4.97,1.71,6.96,-0.02,-0.05,0.01
-39,4.97,1.72,6.95,-0.02,-0.05,0.01
-78,4.96,1.71,6.97,-0.02,-0.05,0.01
-37,4.96,1.72,6.96,-0.02,-0.05,0.01
-422,4.95,1.72,6.97,-0.02,-0.05,0.01
-39,4.94,1.72,6.99,-0.02,-0.05,0.01
-39,4.94,1.73,6.99,-0.02,-0.05,0.01
-77,4.93,1.74,6.99,-0.02,-0.05,0.01
-39,4.92,1.74,7,-0.02,-0.05,0.01
-78,4.94,1.75,6.97,-0.02,-0.05,0.01
-76,4.93,1.75,6.98,-0.02,-0.05,0.01
-40,4.95,1.74,6.99,-0.03,-0.05,0.01
-78,4.96,1.73,6.99,-0.03,-0.05,0.01
-38,4.96,1.72,6.99,-0.03,-0.04,0.01
-40,4.97,1.7,7,-0.03,-0.04,0.01
-40,4.97,1.7,6.99,-0.03,-0.04,0.01
-39,4.96,1.7,7,-0.04,-0.04,0.01
-37,4.96,1.7,7,-0.04,-0.04,0.01
-37,4.95,1.69,7,-0.04,-0.04,0.01
-37,4.95,1.68,7,-0.04,-0.04,0.01
-37,4.95,1.68,6.99,-0.03,-0.04,0.01
-77,4.96,1.67,6.99,-0.03,-0.04,0.01
-37,4.97,1.67,6.99,-0.03,-0.04,0.01
-38,4.98,1.67,6.98,-0.03,-0.04,0.01
-38,4.98,1.67,7,-0.03,-0.05,0.01
-39,4.96,1.67,7,-0.03,-0.05,0.01
-38,4.95,1.67,7,-0.03,-0.05,0.01
-77,4.96,1.68,6.99,-0.03,-0.05,0.01
-39,4.96,1.68,6.96,-0.02,-0.05,0.01
-37,4.95,1.67,6.97,-0.02,-0.05,0.01
-39,4.94,1.68,6.96,-0.02,-0.05,0.01
-76,4.95,1.68,6.97,-0.02,-0.05,0.01
-39,4.96,1.67,6.97,-0.02,-0.05,0.01
-38,4.96,1.66,6.97,-0.02,-0.05,0.01
-37,4.96,1.66,6.99,-0.02,-0.05,0.01
-77,4.97,1.66,6.98,-0.02,-0.05,0.01
-38,4.97,1.65,6.98,-0.02,-0.05,0.01
-76,4.97,1.64,6.99,-0.02,-0.05,0.01
-38,4.98,1.65,6.98,-0.02,-0.05,0.01
-38,5,1.66,6.96,-0.02,-0.05,0.01
-76,5,1.66,6.95,-0.02,-0.05,0.01
-37,5.01,1.66,6.95,-0.02,-0.05,0.01
-37,5.01,1.67,6.95,-0.02,-0.05,0.01
-38,5.01,1.66,6.94,-0.02,-0.05,0.01
-37,5,1.67,6.93,-0.02,-0.05,0.01
-39,5,1.67,6.92,-0.02,-0.05,0.01
-40,4.99,1.68,6.94,-0.02,-0.05,0.01
-39,4.99,1.67,6.96,-0.02,-0.05,0.01
-77,4.98,1.67,6.96,-0.02,-0.05,0.01
-37,5,1.68,6.97,-0.02,-0.05,0.01
-40,5.02,1.68,6.98,-0.02,-0.05,0.01
-79,5.02,1.69,6.97,-0.02,-0.05,0.01
-37,5.03,1.69,6.95,-0.02,-0.05,0.01
-39,5.02,1.68,6.95,-0.02,-0.05,0.01
-78,5.02,1.69,6.96,-0.02,-0.05,0.01
-39,5.02,1.7,6.96,-0.02,-0.05,0.01
-76,5.03,1.71,6.96,-0.02,-0.05,0.01
-78,5.03,1.72,6.97,-0.02,-0.05,0.01
-77,5.03,1.71,6.96,-0.02,-0.05,0.01
-37,5.03,1.7,6.96,-0.02,-0.05,0.01
-39,5.03,1.7,6.96,-0.02,-0.05,0.01
-79,5.03,1.7,6.96,-0.02,-0.05,0.01
-40,5.01,1.68,6.98,-0.02,-0.05,0.01
-39,5.01,1.69,6.97,-0.03,-0.04,0.01
-38,5.01,1.68,6.98,-0.03,-0.04,0.01
-45,4.99,1.68,7,-0.03,-0.04,0.01
-49,4.97,1.68,6.98,-0.03,-0.04,0.01
-49,4.97,1.68,6.98,-0.03,-0.04,0.01
-44,4.96,1.68,6.98,-0.03,-0.04,0.01
-45,4.96,1.68,6.98,-0.02,-0.04,0.01
-45,4.96,1.67,6.96,-0.02,-0.05,0.01
-47,4.96,1.67,6.96,-0.02,-0.04,0.01
-44,4.95,1.68,6.97,-0.02,-0.04,0.01
-48,4.95,1.69,6.99,-0.02,-0.04,0.01
-45,4.96,1.69,6.98,-0.02,-0.04,0.01
-44,4.95,1.69,6.98,-0.02,-0.04,0.01
-46,4.95,1.68,7,-0.02,-0.04,0.01
-47,4.95,1.68,7,-0.02,-0.04,0.01
-48,4.96,1.68,6.98,-0.02,-0.04,0.01
-48,4.96,1.67,6.97,-0.02,-0.04,0.01
-48,4.95,1.69,6.98,-0.02,-0.04,0.01
-48,4.94,1.7,6.98,-0.02,-0.04,0.01
-45,4.94,1.71,6.99,-0.02,-0.04,0.01
-45,4.94,1.71,6.99,-0.02,-0.04,0.01
-924,4.94,1.71,6.99,-0.02,-0.04,0.01
-45,4.94,1.71,6.99,-0.02,-0.04,0.01
-45,4.95,1.71,6.99,-0.02,-0.04,0.01
-566,4.94,1.71,6.99,-0.02,-0.04,0.01
-50,4.94,1.7,7,-0.02,-0.04,0.01
-46,4.95,1.7,7,-0.02,-0.04,0.01
-45,4.96,1.7,7,-0.02,-0.04,0.01
-45,4.97,1.71,6.99,-0.02,-0.04,0.01
-45,4.98,1.71,6.99,-0.02,-0.04,0.01
-50,4.98,1.7,7,-0.02,-0.04,0.01
-45,4.98,1.69,6.98,-0.02,-0.04,0.01
-98,4.97,1.68,6.98,-0.02,-0.04,0.01
-46,4.96,1.68,6.99,-0.02,-0.04,0
-47,4.96,1.69,6.98,-0.02,-0.04,0
-47,4.97,1.7,6.98,-0.02,-0.04,0
-47,4.96,1.7,6.98,-0.02,-0.04,0
-48,4.97,1.69,6.98,-0.02,-0.04,0
-48,4.96,1.7,6.99,-0.02,-0.04,0
-45,4.96,1.71,6.99,-0.02,-0.04,0
-49,4.94,1.72,6.99,-0.02,-0.04,0
-47,4.95,1.71,6.98,-0.02,-0.04,0
-48,4.94,1.72,6.97,-0.01,-0.04,0
-45,4.95,1.71,6.96,-0.01,-0.04,0
-46,4.96,1.7,6.96,-0.01,-0.04,0
-49,4.97,1.7,6.94,-0.01,-0.04,0
-49,4.97,1.69,6.96,-0.01,-0.04,0
-48,4.97,1.69,6.96,-0.01,-0.04,0
-47,4.97,1.7,6.97,-0.01,-0.04,0
-45,4.97,1.7,6.97,-0.02,-0.04,0
-48,4.98,1.7,6.97,-0.02,-0.04,0
-48,4.99,1.69,6.97,-0.02,-0.04,0
-45,5,1.68,6.96,-0.02,-0.04,0
-48,5,1.69,6.96,-0.02,-0.04,0
-1116,5,1.7,6.97,-0.02,-0.04,0
-47,5,1.7,6.96,-0.02,-0.04,0
-50,5,1.69,6.96,-0.03,-0.04,0
-50,5,1.68,6.97,-0.03,-0.04,0
-47,5.02,1.69,6.97,-0.03,-0.04,0
-46,5.02,1.69,6.96,-0.03,-0.04,0
-47,5.01,1.68,6.98,-0.03,-0.04,0
-44,5,1.67,6.98,-0.03,-0.04,0
-48,5.01,1.67,6.99,-0.02,-0.04,0
-558,5.01,1.67,6.99,-0.02,-0.05,0
-44,5.01,1.67,6.99,-0.02,-0.05,0
-45,5,1.67,6.98,-0.02,-0.05,0
-46,5,1.66,6.99,-0.02,-0.05,0
-1071,4.99,1.67,6.98,-0.02,-0.05,0
-46,4.99,1.68,6.99,-0.02,-0.05,0
47,4.99,1.69,7.02,-0.02,-0.05,0
-46,4.99,1.7,7.02,-0.02,-0.05,0
-47,4.98,1.7,6.99,-0.02,-0.05,0
-47,4.96,1.69,6.99,-0.02,-0.05,0
-46,4.97,1.69,6.99,-0.02,-0.05,0
-48,4.97,1.7,6.99,-0.02,-0.05,0
-45,4.98,1.71,6.99,-0.03,-0.05,0
-47,4.98,1.73,6.99,-0.03,-0.05,0
-48,4.98,1.73,6.99,-0.03,-0.04,0
-47,4.99,1.73,6.99,-0.03,-0.04,0
-49,4.98,1.72,6.98,-0.03,-0.04,0
-45,4.98,1.71,6.98,-0.03,-0.04,0
-45,4.98,1.71,6.97,-0.03,-0.04,0
49,4.97,1.71,6.96,-0.03,-0.04,0
-48,4.96,1.71,6.96,-0.03,-0.04,0
-47,4.96,1.7,6.96,-0.03,-0.04,0
-48,4.97,1.7,6.95,-0.03,-0.04,0
-45,4.98,1.71,6.95,-0.03,-0.04,0
-45,4.98,1.7,6.96,-0.03,-0.04,0
-47,4.97,1.7,6.96,-0.03,-0.04,0.01
-45,4.98,1.7,6.97,-0.02,-0.05,0.01
-48,4.98,1.69,6.95,-0.02,-0.05,0.01
-47,4.99,1.7,6.93,-0.02,-0.05,0.01
-47,4.99,1.71,6.94,-0.02,-0.05,0.01
-48,4.98,1.7,6.94,-0.02,-0.05,0.01
-45,4.98,1.7,6.92,-0.02,-0.04,0.01
-47,5,1.7,6.92,-0.02,-0.04,0.01
-47,5.02,1.7,6.9,-0.02,-0.04,0.01
-47,5.03,1.69,6.9,-0.02,-0.04,0.01
-49,5.03,1.68,6.9,-0.02,-0.04,0.01
-610,5.02,1.67,6.92,-0.02,-0.04,0.01
-48,5.03,1.67,6.91,-0.02,-0.04,0.01
-49,5.02,1.68,6.9,-0.02,-0.04,0.01
-46,5.02,1.69,6.91,-0.02,-0.04,0.01
-48,5.02,1.69,6.93,-0.02,-0.04,0.01
-46,5.03,1.69,6.93,-0.02,-0.05,0.01
-46,5.04,1.68,6.94,-0.02,-0.05,0.01
-48,5.04,1.68,6.95,-0.02,-0.05,0.01
-47,5.01,1.67,6.96,-0.02,-0.05,0.01
-519,5.01,1.67,6.95,-0.02,-0.05,0.01
-50,5,1.68,6.96,-0.02,-0.05,0.01
-48,4.99,1.68,6.96,-0.02,-0.05,0.01
49,4.98,1.68,6.94,-0.02,-0.05,0.01
-553,4.99,1.67,6.96,-0.02,-0.04,0.01
-47,4.98,1.68,6.96,-0.02,-0.04,0.01
50,4.99,1.67,6.98,-0.02,-0.04,0.01
-606,5,1.67,6.97,-0.02,-0.04,0.01
-45,4.99,1.67,6.98,-0.02,-0.04,0.01
-46,4.99,1.67,6.99,-0.02,-0.04,0.01
-49,4.99,1.66,6.99,-0.02,-0.04,0.01
-49,4.99,1.65,6.98,-0.02,-0.04,0.01
-48,4.98,1.65,7,-0.02,-0.04,0.01
-45,4.98,1.67,7,-0.02,-0.04,0.01
-49,4.97,1.67,6.99,-0.02,-0.04,0.01
-47,4.97,1.67,6.99,-0.02,-0.04,0.01
-48,4.95,1.67,6.98,-0.02,-0.04,0.01
-46,4.96,1.65,6.97,-0.02,-0.04,0.01
-48,4.96,1.66,6.98,-0.02,-0.04,0.01
-45,4.96,1.67,6.97,-0.02,-0.04,0.01
-47,4.96,1.68,6.96,-0.02,-0.05,0.01
-46,4.95,1.7,6.97,-0.02,-0.04,0.01
-47,4.95,1.71,6.96,-0.02,-0.04,0.01
-47,4.95,1.71,6.96,-0.02,-0.04,0.01
-48,4.95,1.72,6.97,-0.03,-0.04,0.01
-561,4.95,1.73,6.97,-0.03,-0.04,0.01
-46,4.95,1.74,6.97,-0.03,-0.04,0.01
-46,4.95,1.73,6.96,-0.03,-0.04,0.01
-45,4.95,1.72,6.96,-0.03,-0.04,0.01
-47,4.96,1.73,6.95,-0.03,-0.04,0.01
-47,4.95,1.74,6.96,-0.03,-0.03,0.01
-46,4.95,1.74,6.96,-0.03,-0.03,0.01
-48,4.95,1.74,6.95,-0.03,-0.03,0.01
-46,4.95,1.72,6.96,-0.02,-0.03,0.01
-47,4.94,1.72,6.99,-0.02,-0.03,0.01
-48,4.94,1.7,6.98,-0.01,-0.03,0
-45,4.94,1.72,6.99,0,-0.04,0
-48,4.95,1.74,7,0,-0.04,0
-48,4.96,1.73,7,0,-0.04,0
-48,4.96,1.74,7.01,-0.01,-0.04,0
-48,4.95,1.75,7,-0.01,-0.03,0
-47,4.95,1.75,7,-0.01,-0.03,0
-48,4.97,1.76,6.99,-0.01,-0.03,0
-50,4.96,1.76,6.97,-0.01,-0.03,0
-517,4.95,1.75,6.96,0,-0.03,0
-47,4.94,1.75,6.97,0,-0.03,0
-46,4.93,1.73,6.97,0,-0.03,0
45,4.91,1.71,6.96,0,-0.03,0
-48,4.91,1.71,6.96,0,-0.03,0
-50,4.89,1.71,6.94,0,-0.03,-0.01
-46,4.88,1.71,6.91,0,-0.03,-0.01
-48,4.87,1.69,6.91,0,-0.03,-0.01
-47,4.88,1.67,6.9,0,-0.03,-0.01
-48,4.89,1.68,6.9,0,-0.03,0
-47,4.89,1.68,6.91,0,-0.03,0
-47,4.9,1.68,6.92,0,-0.03,0
-45,4.89,1.67,6.94,0,-0.03,0
-49,4.9,1.67,6.96,0,-0.03,0
-45,4.9,1.67,6.96,0,-0.03,0
-47,4.92,1.67,6.94,0,-0.04,0.01
-47,4.91,1.65,6.96,0,-0.04,0.01
-47,4.92,1.64,6.98,0,-0.04,0.01
-46,4.93,1.64,6.99,0.01,-0.04,0.01
-45,4.93,1.66,7,0.01,-0.04,0.01
-45,4.93,1.67,7.01,0.01,-0.05,0.01
47,4.93,1.67,7.02,0.01,-0.05,0.01
-45,4.96,1.69,7.01,0.01,-0.05,0.01
-606,4.97,1.69,7.02,0.01,-0.05,0.01
-654,4.99,1.7,7.03,0.01,-0.05,0.01
-48,4.99,1.7,7.04,0.01,-0.05,0.01
-47,4.98,1.69,7.03,0.01,-0.05,0.01
47,4.98,1.71,7.02,0.01,-0.05,0.01
-47,4.99,1.71,7.02,0.01,-0.05,0.01
-47,4.98,1.72,7.02,0.01,-0.05,0.01
-45,4.98,1.73,7.02,0.01,-0.05,0.01
-47,4.99,1.72,7,0.01,-0.05,0.01
-48,5,1.72,7,0.01,-0.05,0.01
-46,5,1.72,7,0.01,-0.05,0.01
-50,4.99,1.72,6.99,0.02,-0.05,0.01
-44,4.99,1.74,6.99,0.02,-0.06,0.01
-48,5,1.75,6.98,0.01,-0.06,0.01
-611,5.01,1.75,6.97,0.01,-0.06,0.01
-47,5.01,1.76,6.95,0.01,-0.06,0.01
-48,5.01,1.77,6.95,0.01,-0.06,0.01
-46,5,1.78,6.93,0.01,-0.06,0.01
47,4.98,1.77,6.94,0.01,-0.06,0.01
-47,4.97,1.75,6.94,0,-0.06,0.01
-46,4.97,1.76,6.93,0,-0.06,0.01
-48,4.97,1.77,6.93,-0.01,-0.05,0.01
-48,4.97,1.78,6.93,-0.01,-0.05,0.01
-47,4.96,1.77,6.94,-0.01,-0.05,0.01
-45,4.94,1.77,6.95,-0.01,-0.05,0.01
-96,4.92,1.77,6.94,-0.01,-0.05,0.01
-48,4.93,1.77,6.91,-0.01,-0.05,0.01
-47,4.93,1.76,6.91,-0.01,-0.05,0.02
-44,4.94,1.75,6.92,-0.01,-0.05,0.02
-890,4.95,1.75,6.93,-0.01,-0.05,0.02
-48,4.95,1.75,6.93,-0.01,-0.05,0.02
47,4.96,1.74,6.92,0,-0.05,0.02
-45,4.97,1.72,6.94,0,-0.05,0.02
-48,4.97,1.7,6.93,0,-0.05,0.02
-45,4.98,1.68,6.94,0,-0.05,0.03
-45,4.99,1.68,6.95,0,-0.05,0.03
-45,5.02,1.68,6.95,0,-0.05,0.03
-45,5.04,1.68,6.95,0,-0.05,0.03
-46,5.06,1.69,6.92,0.01,-0.05,0.03
-46,5.06,1.7,6.92,0.01,-0.05,0.03
-45,5.08,1.69,6.93,0.01,-0.05,0.03
-45,5.08,1.68,6.93,0.01,-0.05,0.03
-46,5.1,1.68,6.93,0.01,-0.05,0.03
-45,5.1,1.67,6.94,0.01,-0.05,0.03
-46,5.1,1.66,6.94,0.01,-0.05,0.03
-46,5.11,1.64,6.93,0.01,-0.05,0.03
-46,5.13,1.64,6.95,0.01,-0.05,0.03
-46,5.13,1.64,6.96,0.01,-0.06,0.03
-45,5.14,1.64,6.96,0.01,-0.06,0.03
-46,5.15,1.64,6.94,0.01,-0.06,0.03
-888,5.15,1.65,6.94,0.01,-0.06,0.03
-697,5.15,1.65,6.95,0.01,-0.06,0.03
-47,5.15,1.66,6.95,0.01,-0.06,0.03
-48,5.14,1.67,6.95,0.01,-0.06,0.03
-48,5.14,1.67,6.93,0.01,-0.06,0.03
-46,5.11,1.68,6.93,0.01,-0.06,0.03
-45,5.1,1.68,6.93,0,-0.06,0.03
-48,5.1,1.7,6.92,0,-0.06,0.03
-47,5.1,1.7,6.92,0,-0.06,0.03
-45,5.09,1.69,6.91,0,-0.06,0.03
-46,5.07,1.7,6.91,0,-0.06,0.03
-47,5.05,1.7,6.94,0,-0.07,0.02
-48,5.03,1.69,6.94,-0.01,-0.07,0.02
-48,5.03,1.69,6.94,-0.01,-0.07,0.02
-46,5.02,1.68,6.95,-0.01,-0.07,0.02
-87,5.01,1.67,6.96,-0.01,-0.07,0.02
-42,5.01,1.67,6.97,-0.02,-0.06,0.02
-86,5,1.68,6.97,-0.02,-0.07,0.02
-86,4.99,1.68,6.99,-0.02,-0.07,0.02
-43,4.98,1.66,6.99,-0.02,-0.07,0.02
-43,4.98,1.68,7,-0.02,-0.07,0.02
-46,4.98,1.69,7,-0.02,-0.07,0.02
-45,4.98,1.69,7.01,-0.02,-0.07,0.02
-87,4.99,1.69,7.01,-0.02,-0.07,0.02
-90,5,1.7,7.02,-0.03,-0.07,0.02
-44,4.99,1.71,7.02,-0.03,-0.07,0.02
-44,4.99,1.71,7.02,-0.03,-0.07,0.02
-43,4.99,1.73,7.01,-0.03,-0.07,0.02
-438,4.99,1.74,7,-0.03,-0.07,0.02
